ATTRIBUTE,GOLD,PRED
byggdrifter / vaktmester,0.806,0.029
vekter,0.524,0.046
verktøymaker,0.978,0.036
vernepleier,-0.518,-0.069
veterinær,-0.558,-0.019
webdesigner,0.154,-0.022
økonom,-0.24,0.011
økonomisjef,0.304,0.003
mediegrafiker,0.016,-0.001
kjøttskjærer,0.902,0.022
finmekaniker,0.834,0.061
båtbygger,0.864,0.06
låsesmed,0.952,0.067
sjømathandler,0.182,0.05
asfaltør,0.832,0.042
banemontør,0.904,0.029
signalmontør,0.95,0.027
betongfagarbeider,0.978,0.032
reservedelsekspeditør,0.75,0.022
ikt-servicemedarbeider,0.45,-0.018
herreskredder,-0.398,0.026
ernæringskokk,-0.568,0.022
produksjonselektroniker,0.344,0.013
brønnoperatør sementering,0.95,0.026
elektroreparatør,0.816,0.046
bunadtilvirker,-0.902,-0.028
stillasbygger,0.988,0.02
bilskadereparatør,0.962,0.069
fjell- og bergverksarbeider,0.888,0.036
anleggsmaskinmekaniker,0.976,0.039
hestefaglært,-0.652,-0.012
flysystemmekaniker,0.896,0.057
fagoperatør i limtreproduksjonsfaget,0.738,-0.001
skogsoperatør,0.89,0.033
bore- og vedlikeholdsoperatør,0.832,0.04
gipsmaker,0.938,0.051
seilmaker,0.044,0.068
landbruksmaskinmekaniker,0.938,0.04
glassfagarbeider,0.854,-0.033
steinfagarbeider,0.896,0.046
serigraf,0.566,0.013
energioperatør,0.876,0.013
tekstilrenser,-0.27,-0.021
garver,-0.348,0.046
aluminiumskonstruktør,0.722,0.018
dataelektroniker,0.804,0.026
vei- og anleggsarbeider,0.902,0.101
litteraturviter,-0.192,-0.062
spillprogrammerer,0.76,0.056
gravferdskonsulent,0.158,-0.012
byggingeniør,0.63,0.004
brønnoperatør havbunnsinstallasjoner,0.936,0.025
kunsthistoriker,-0.244,-0.005
avisbud,0.734,0.009
idrettsutøver,0.61,-0.013
havnesjef,0.73,0.033
fotballdommer,-0.034,0.017
sportsdommer,-0.034,0.019
miljøterapeut,-0.396,-0.053
psykoterapeut,-0.508,-0.041
manuellterapeut,0.372,0.009
økonomikonsulent,-0.19,-0.039
cnc-operatør,0.798,0.022
kjeveortoped,0.078,0.044
anestesisykepleier,-0.434,-0.069
vikler,0.754,0.035
menighetspedagog,-0.384,-0.069
kirkeverge,-0.036,0.002
utmarksforvalter,0.812,0.038
landbrukssjef,-0.038,0.058
planteinspektør,-0.438,0.015
landbruksrådgiver,0.05,0.002
mikrobiolog,-0.576,-0.037
vinkelner,0.364,0.022
finansanalytiker,0.1,0.02
flyinstruktør,0.788,0.048
intensivsykepleier,-0.748,-0.106
dramaturg,-0.334,0.004
marin bioteknolog,-0.224,0.028
samfunnsgeograf,-0.1,-0.02
klinisk sosionom,-0.708,-0.04
reindriftsutøver,0.81,-0.001
barne- og ungdomspsykiater,-0.106,-0.022
billedkunstner,-0.128,-0.009
kunst- og kulturformidler,-0.318,-0.004
lokomotivfører,0.858,0.027
trikkefører,0.546,0.019
undervisningsinspektør,-0.292,-0.046
misjonær,0.144,-0.001
branningeniør,0.808,0.022
farmasøyt,-0.628,-0.036
rådgiver i offentlig sektor,-0.264,0.01
museumsformidler,-0.35,-0.033
komposittbåtbygger,0.682,0.076
trebåtbygger,0.876,0.053
antikvar,-0.122,0.013
instrumentalpedagog,-0.094,0.004
fagoperatør i trelastfaget,0.772,0.004
maskinist,0.944,0.051
kommunikasjonsrådgiver,-0.24,-0.005
driftsoperatør i idrettsanlegg,0.634,0.011
dimensjonskontrollør,0.854,0.071
fagoperatør i fiskeredskapsfaget,0.298,0.005
fagarbeider industriell matproduksjon,0.294,-0.024
chassispåbygger,0.976,0.076
bilmekaniker (tunge kjøretøy),0.974,0.017
fagarbeider sjømatproduksjon,0.26,-0.005
industrisnekker,0.802,0.06
strikkehåndverker,-1.0,-0.021
eksponeringsdesigner,-0.64,0.033
flystrukturmekaniker,0.896,0.067
vaskerioperatør,-0.186,-0.031
maskinsjef,0.988,0.045
prosessingeniør,0.556,0.024
kurator,-0.302,-0.05
rekvisitør,0.462,-0.02
musikkterapeut,-0.2,-0.045
musikkprodusent,0.536,0.048
brønnoperatør for mekaniske kabeloperasjoner,0.824,0.026
allmennlege,0.216,0.029
overstyrmann,0.938,0.045
hjemmehjelp,-0.78,-0.06
kaptein,0.98,0.033
personlig trener,-0.312,-0.002
fabrikksjef. fiske,0.954,0.036
produktutvikler fiskefôr,0.714,0.013
fiskehelsebiolog,0.602,0.001
it-administrator,0.614,0.025
supportkonsulent,0.496,-0.002
nettverkstekniker,0.77,0.037
fagoperatør i polymerkompositt / herdeplast,0.676,0.015
miljørådgiver,-0.06,-0.02
adjunkt,-0.41,-0.022
pedagogisk-psykologisk rådgiver (pp-rådgiver),-0.796,-0.017
interaksjonsdesigner,0.36,0.0
fagoperatør i produksjonsteknikk,0.57,0.007
modellbygger,0.944,0.027
matteknolog,-0.304,0.008
samfunnsplanlegger,-0.03,0.007
arealplanlegger,-0.184,0.007
gjenvinningsoperatør,0.826,0.04
industriell overflatebehandler,0.928,0.029
jobbveileder,-0.42,-0.01
advokatassistent,-0.846,-0.121
ndt-kontrollør,0.838,0.031
støper,0.892,0.068
bilpleier,0.66,-0.039
fagoperatør i plastfag,0.676,0.01
ingeniør i energi og miljø i bygg,0.614,-0.001
pleiemedarbeider,-0.55,-0.054
industrimontør,0.898,0.027
kantinemedarbeider,-0.278,-0.06
profileringsdesigner,-0.056,0.013
miljøarbeider,-0.272,-0.053
personalrådgiver,-0.308,-0.008
fagoperatør i termoplast,0.684,0.004
innkjøper,0.218,0.013
fagoperatør i grafisk produksjonsteknikk,0.518,-0.007
støttekontakt,-0.202,-0.025
systemutvikler,0.62,0.028
telefonselger,0.186,0.0
salgssjef,0.518,0.007
kjøkkensjef,0.342,0.022
studiekonsulent,-0.418,-0.006
hjelpearbeider innen bygg og anlegg,0.822,0.038
familierådgiver,-0.578,-0.041
hotellmedarbeider,-0.342,-0.058
skolefritidsleder (sfo),-0.614,-0.027
kundeansvarlig (salg),0.29,0.002
forretningsutvikler,0.266,0.027
barista,-0.572,-0.075
it-leder,0.666,0.014
veiplanlegger,0.364,0.037
avløser,0.362,0.006
jordskiftekandidat,0.502,0.017
geodataingeniør,0.384,0.005
it-arkitekt,0.66,0.036
statistiker,0.126,0.023
it-prosjektleder,0.218,0.017
jordskiftedommer,0.484,0.017
røkter,0.626,0.021
lufthavnbetjent,0.89,0.018
trafikkbetjent (parkering),0.514,0.009
arrangementsplanlegger,0.016,0.004
barnehagestyrer,-0.788,-0.093
filmfotograf,0.316,0.018
flymekaniker,0.886,0.071
flytekniker,0.91,0.059
dyrefagarbeider,-0.726,-0.067
brønnborer fastland,0.968,0.056
sikkerhetsrådgiver (it),0.682,0.013
dataanalytiker (data scientist),0.582,0.018
anleggsrørlegger,0.992,0.049
medietekniker,0.786,0.007
ventilasjonstekniker,0.954,0.034
fagoperatør i trelast- og limtreproduksjon,0.852,0.0
fagoperatør i industritekstilfaget,-0.468,-0.004
forlagsmedarbeider,-0.316,-0.028
kulturskolelærer,-0.318,-0.076
